species,Pioneering,Expansion, Stability,Unfilling ,Abandonment ,sum,Pioneering,Expansion, Stability,Unfilling ,Abandonment 
Kallima_inachus_category_quantity,0.017523875,5.141176503,29.06844783,27.27866983,1.891980061,63.3977981,0.027641141,8.109392845,45.85087921,43.02778748,2.984299325
Kallima_sylvia_category_quantity,1.649050629,2.981137016,58.99705292,7.383248642,0.818723672,71.82921288,2.295793818,4.1503128,82.13517948,10.27889398,1.139819913
Lampides_boeticus_category_quantity,0.636402211,3.818255857,44.00913618,4.134177575,0.264818034,52.86278986,1.203875567,7.222955632,83.25163371,7.820581521,0.500953572
Lamproptera_curius_category_quantity,0.423676573,5.666471538,33.19792302,9.062075119,2.826091666,51.17623792,0.827877527,11.07246599,64.86979968,17.70758361,5.52227319
Lebadea_martha_category_quantity,2.04529254,7.502193792,67.3687869,7.972455966,4.536332584,89.42506178,2.287158096,8.389363834,75.33546587,8.915236744,5.072775454
Leptosia_nina_category_quantity,1.275840914,9.182489575,67.75851821,9.669174514,0.480565261,88.36658847,1.443804651,10.39135915,76.67888891,10.94211588,0.543831407
Leptotes_plinius_category_quantity,0.26498571,5.601874918,23.74288086,3.101365101,1.395050753,34.10615734,0.776943903,16.4248199,69.61464648,9.093270373,4.090319349
Lethe_confusa_category_quantity,0.002511284,1.903487347,43.00318675,15.9400961,0.509794251,61.35907573,0.004092767,3.102209941,70.08447607,25.97838365,0.830837565
Lethe_europa_category_quantity,0.583554475,1.370862243,51.80973111,17.33031726,1.551217012,72.6456821,0.803288589,1.887052614,71.31839032,23.85594953,2.135318944
Lexias_pardalis_category_quantity,0.862074074,10.22058747,27.00414487,0.910421732,16.80184101,55.79906916,1.544961389,18.31677056,48.39533218,1.631607383,30.11132849
Libythea_lepita_category_quantity,0.005553049,9.15617524,7.623222125,2.291869156,5.547924232,24.6247438,0.022550687,37.18282437,30.95756929,9.307179699,22.52987595
Limenitis_procris_category_quantity,0.501836573,6.324065873,39.29915499,8.731819811,1.985930503,56.84280775,0.882849727,11.12553395,69.13654787,15.36134501,3.493723448
Limenitis_sulpitia_category_quantity,0.006686436,11.48302145,28.79979944,3.946843389,2.566990741,46.80334146,0.014286236,24.53461888,61.53363957,8.432823953,5.484631356
Loxura_atymnus_category_quantity,0.251185063,11.44163698,53.29322688,14.04818388,1.012358574,80.04659138,0.313798575,14.29372167,66.57775923,17.55000886,1.264711659
Luthrodes_pandava_category_quantity,1.091931954,8.292033021,52.23840242,3.682120007,3.789595073,69.09408248,1.580355242,12.00107552,75.60474146,5.32913945,5.484688322
Lycaena_phlaeas_category_quantity,0,0.917564804,9.076229977,0.224063691,7.75077521,17.96863368,0,5.106480661,50.51151989,1.246971222,43.13502822
